Hue,Saturation,Brightness,Hex
0,100,36,#5C0000
1,100,36,#5C0200
2,100,36,#5C0300
3,100,36,#5C0500
4,100,36,#5C0600
5,100,36,#5C0800
6,100,36,#5C0900
7,100,36,#5C0B00
8,100,36,#5C0C00
9,100,36,#5C0E00
10,100,36,#5C0F00
11,100,36,#5C1100
12,100,36,#5C1200
13,100,36,#5C1400
14,100,36,#5C1500
15,100,36,#5C1700
16,100,36,#5C1800
17,100,36,#5C1A00
18,100,36,#5C1C00
19,100,36,#5C1D00
20,100,36,#5C1F00
21,100,36,#5C2000
22,100,36,#5C2200
23,100,36,#5C2300
24,100,36,#5C2500
25,100,36,#5C2600
26,100,36,#5C2800
27,100,36,#5C2900
28,100,36,#5C2B00
29,100,36,#5C2C00
30,100,36,#5C2E00
31,100,36,#5C2F00
32,100,36,#5C3100
33,100,36,#5C3200
34,100,36,#5C3400
35,100,36,#5C3600
36,100,36,#5C3700
37,100,36,#5C3900
38,100,36,#5C3A00
39,100,36,#5C3C00
40,100,36,#5C3D00
41,100,36,#5C3F00
42,100,36,#5C4000
43,100,36,#5C4200
44,100,36,#5C4300
45,100,36,#5C4500
46,100,36,#5C4600
47,100,36,#5C4800
48,100,36,#5C4900
49,100,36,#5C4B00
50,100,36,#5C4D00
51,100,36,#5C4E00
52,100,36,#5C5000
53,100,36,#5C5100
54,100,36,#5C5300
55,100,36,#5C5400
56,100,36,#5C5600
57,100,36,#5C5700
58,100,36,#5C5900
59,100,36,#5C5A00
60,100,36,#5C5C00
61,100,36,#5A5C00
62,100,36,#595C00
63,100,36,#575C00
64,100,36,#565C00
65,100,36,#545C00
66,100,36,#535C00
67,100,36,#515C00
68,100,36,#505C00
69,100,36,#4E5C00
70,100,36,#4D5C00
71,100,36,#4B5C00
72,100,36,#495C00
73,100,36,#485C00
74,100,36,#465C00
75,100,36,#455C00
76,100,36,#435C00
77,100,36,#425C00
78,100,36,#405C00
79,100,36,#3F5C00
80,100,36,#3D5C00
81,100,36,#3C5C00
82,100,36,#3A5C00
83,100,36,#395C00
84,100,36,#375C00
85,100,36,#365C00
86,100,36,#345C00
87,100,36,#325C00
88,100,36,#315C00
89,100,36,#2F5C00
90,100,36,#2E5C00
91,100,36,#2C5C00
92,100,36,#2B5C00
93,100,36,#295C00
94,100,36,#285C00
95,100,36,#265C00
96,100,36,#255C00
97,100,36,#235C00
98,100,36,#225C00
99,100,36,#205C00
100,100,36,#1F5C00
101,100,36,#1D5C00
102,100,36,#1C5C00
103,100,36,#1A5C00
104,100,36,#185C00
105,100,36,#175C00
106,100,36,#155C00
107,100,36,#145C00
108,100,36,#125C00
109,100,36,#115C00
110,100,36,#0F5C00
111,100,36,#0E5C00
112,100,36,#0C5C00
113,100,36,#0B5C00
114,100,36,#095C00
115,100,36,#085C00
116,100,36,#065C00
117,100,36,#055C00
118,100,36,#035C00
119,100,36,#025C00
120,100,36,#005C00
121,100,36,#005C02
122,100,36,#005C03
123,100,36,#005C05
124,100,36,#005C06
125,100,36,#005C08
126,100,36,#005C09
127,100,36,#005C0B
128,100,36,#005C0C
129,100,36,#005C0E
130,100,36,#005C0F
131,100,36,#005C11
132,100,36,#005C12
133,100,36,#005C14
134,100,36,#005C15
135,100,36,#005C17
136,100,36,#005C18
137,100,36,#005C1A
138,100,36,#005C1C
139,100,36,#005C1D
140,100,36,#005C1F
141,100,36,#005C20
142,100,36,#005C22
143,100,36,#005C23
144,100,36,#005C25
145,100,36,#005C26
146,100,36,#005C28
147,100,36,#005C29
148,100,36,#005C2B
149,100,36,#005C2C
150,100,36,#005C2E
151,100,36,#005C2F
152,100,36,#005C31
153,100,36,#005C32
154,100,36,#005C34
155,100,36,#005C36
156,100,36,#005C37
157,100,36,#005C39
158,100,36,#005C3A
159,100,36,#005C3C
160,100,36,#005C3D
161,100,36,#005C3F
162,100,36,#005C40
163,100,36,#005C42
164,100,36,#005C43
165,100,36,#005C45
166,100,36,#005C46
167,100,36,#005C48
168,100,36,#005C49
169,100,36,#005C4B
170,100,36,#005C4C
171,100,36,#005C4E
172,100,36,#005C50
173,100,36,#005C51
174,100,36,#005C53
175,100,36,#005C54
176,100,36,#005C56
177,100,36,#005C57
178,100,36,#005C59
179,100,36,#005C5A
180,100,36,#005C5C
181,100,36,#005A5C
182,100,36,#00595C
183,100,36,#00575C
184,100,36,#00565C
185,100,36,#00545C
186,100,36,#00535C
187,100,36,#00515C
188,100,36,#00505C
189,100,36,#004E5C
190,100,36,#004C5C
191,100,36,#004B5C
192,100,36,#00495C
193,100,36,#00485C
194,100,36,#00465C
195,100,36,#00455C
196,100,36,#00435C
197,100,36,#00425C
198,100,36,#00405C
199,100,36,#003F5C
200,100,36,#003D5C
201,100,36,#003C5C
202,100,36,#003A5C
203,100,36,#00395C
204,100,36,#00375C
205,100,36,#00365C
206,100,36,#00345C
207,100,36,#00325C
208,100,36,#00315C
209,100,36,#002F5C
210,100,36,#002E5C
211,100,36,#002C5C
212,100,36,#002B5C
213,100,36,#00295C
214,100,36,#00285C
215,100,36,#00265C
216,100,36,#00255C
217,100,36,#00235C
218,100,36,#00225C
219,100,36,#00205C
220,100,36,#001F5C
221,100,36,#001D5C
222,100,36,#001C5C
223,100,36,#001A5C
224,100,36,#00185C
225,100,36,#00175C
226,100,36,#00155C
227,100,36,#00145C
228,100,36,#00125C
229,100,36,#00115C
230,100,36,#000F5C
231,100,36,#000E5C
232,100,36,#000C5C
233,100,36,#000B5C
234,100,36,#00095C
235,100,36,#00085C
236,100,36,#00065C
237,100,36,#00055C
238,100,36,#00035C
239,100,36,#00025C
240,100,36,#00005C
241,100,36,#02005C
242,100,36,#03005C
243,100,36,#05005C
244,100,36,#06005C
245,100,36,#08005C
246,100,36,#09005C
247,100,36,#0B005C
248,100,36,#0C005C
249,100,36,#0E005C
250,100,36,#0F005C
251,100,36,#11005C
252,100,36,#12005C
253,100,36,#14005C
254,100,36,#15005C
255,100,36,#17005C
256,100,36,#18005C
257,100,36,#1A005C
258,100,36,#1C005C
259,100,36,#1D005C
260,100,36,#1F005C
261,100,36,#20005C
262,100,36,#22005C
263,100,36,#23005C
264,100,36,#25005C
265,100,36,#26005C
266,100,36,#28005C
267,100,36,#29005C
268,100,36,#2B005C
269,100,36,#2C005C
270,100,36,#2E005C
271,100,36,#2F005C
272,100,36,#31005C
273,100,36,#32005C
274,100,36,#34005C
275,100,36,#36005C
276,100,36,#37005C
277,100,36,#39005C
278,100,36,#3A005C
279,100,36,#3C005C
280,100,36,#3D005C
281,100,36,#3F005C
282,100,36,#40005C
283,100,36,#42005C
284,100,36,#43005C
285,100,36,#45005C
286,100,36,#46005C
287,100,36,#48005C
288,100,36,#49005C
289,100,36,#4B005C
290,100,36,#4D005C
291,100,36,#4E005C
292,100,36,#50005C
293,100,36,#51005C
294,100,36,#53005C
