Hue,Saturation,Brightness,Hex
0,100,92,#EB0000
1,100,92,#EB0400
2,100,92,#EB0800
3,100,92,#EB0C00
4,100,92,#EB1000
5,100,92,#EB1400
6,100,92,#EB1700
7,100,92,#EB1B00
8,100,92,#EB1F00
9,100,92,#EB2300
10,100,92,#EB2700
11,100,92,#EB2B00
12,100,92,#EB2F00
13,100,92,#EB3300
14,100,92,#EB3700
15,100,92,#EB3B00
16,100,92,#EB3F00
17,100,92,#EB4200
18,100,92,#EB4600
19,100,92,#EB4A00
20,100,92,#EB4E00
21,100,92,#EB5200
22,100,92,#EB5600
23,100,92,#EB5A00
24,100,92,#EB5E00
25,100,92,#EB6200
26,100,92,#EB6600
27,100,92,#EB6A00
28,100,92,#EB6D00
29,100,92,#EB7100
30,100,92,#EB7500
31,100,92,#EB7900
32,100,92,#EB7D00
33,100,92,#EB8100
34,100,92,#EB8500
35,100,92,#EB8900
36,100,92,#EB8D00
37,100,92,#EB9100
38,100,92,#EB9500
39,100,92,#EB9800
40,100,92,#EB9C00
41,100,92,#EBA000
42,100,92,#EBA400
43,100,92,#EBA800
44,100,92,#EBAC00
45,100,92,#EBB000
46,100,92,#EBB400
47,100,92,#EBB800
48,100,92,#EBBC00
49,100,92,#EBC000
50,100,92,#EBC400
51,100,92,#EBC700
52,100,92,#EBCB00
53,100,92,#EBCF00
54,100,92,#EBD300
55,100,92,#EBD700
56,100,92,#EBDB00
57,100,92,#EBDF00
58,100,92,#EBE300
59,100,92,#EBE700
60,100,92,#EBEB00
61,100,92,#E7EB00
62,100,92,#E3EB00
63,100,92,#DFEB00
64,100,92,#DBEB00
65,100,92,#D7EB00
66,100,92,#D3EB00
67,100,92,#CFEB00
68,100,92,#CBEB00
69,100,92,#C7EB00
70,100,92,#C3EB00
71,100,92,#C0EB00
72,100,92,#BCEB00
73,100,92,#B8EB00
74,100,92,#B4EB00
75,100,92,#B0EB00
76,100,92,#ACEB00
77,100,92,#A8EB00
78,100,92,#A4EB00
79,100,92,#A0EB00
80,100,92,#9CEB00
81,100,92,#98EB00
82,100,92,#95EB00
83,100,92,#91EB00
84,100,92,#8DEB00
85,100,92,#89EB00
86,100,92,#85EB00
87,100,92,#81EB00
88,100,92,#7DEB00
89,100,92,#79EB00
90,100,92,#75EB00
91,100,92,#71EB00
92,100,92,#6DEB00
93,100,92,#6AEB00
94,100,92,#66EB00
95,100,92,#62EB00
96,100,92,#5EEB00
97,100,92,#5AEB00
98,100,92,#56EB00
99,100,92,#52EB00
100,100,92,#4EEB00
101,100,92,#4AEB00
102,100,92,#46EB00
103,100,92,#42EB00
104,100,92,#3FEB00
105,100,92,#3BEB00
106,100,92,#37EB00
107,100,92,#33EB00
108,100,92,#2FEB00
109,100,92,#2BEB00
110,100,92,#27EB00
111,100,92,#23EB00
112,100,92,#1FEB00
113,100,92,#1BEB00
114,100,92,#17EB00
115,100,92,#14EB00
116,100,92,#10EB00
117,100,92,#0CEB00
118,100,92,#08EB00
119,100,92,#04EB00
120,100,92,#00EB00
121,100,92,#00EB04
122,100,92,#00EB08
123,100,92,#00EB0C
124,100,92,#00EB10
125,100,92,#00EB14
126,100,92,#00EB17
127,100,92,#00EB1B
128,100,92,#00EB1F
129,100,92,#00EB23
130,100,92,#00EB27
131,100,92,#00EB2B
132,100,92,#00EB2F
133,100,92,#00EB33
134,100,92,#00EB37
135,100,92,#00EB3B
136,100,92,#00EB3F
137,100,92,#00EB42
138,100,92,#00EB46
139,100,92,#00EB4A
140,100,92,#00EB4E
141,100,92,#00EB52
142,100,92,#00EB56
143,100,92,#00EB5A
144,100,92,#00EB5E
145,100,92,#00EB62
146,100,92,#00EB66
147,100,92,#00EB6A
148,100,92,#00EB6D
149,100,92,#00EB71
150,100,92,#00EB75
151,100,92,#00EB79
152,100,92,#00EB7D
153,100,92,#00EB81
154,100,92,#00EB85
155,100,92,#00EB89
156,100,92,#00EB8D
157,100,92,#00EB91
158,100,92,#00EB95
159,100,92,#00EB98
160,100,92,#00EB9C
161,100,92,#00EBA0
162,100,92,#00EBA4
163,100,92,#00EBA8
164,100,92,#00EBAC
165,100,92,#00EBB0
166,100,92,#00EBB4
167,100,92,#00EBB8
168,100,92,#00EBBC
169,100,92,#00EBC0
170,100,92,#00EBC3
171,100,92,#00EBC7
172,100,92,#00EBCB
173,100,92,#00EBCF
174,100,92,#00EBD3
175,100,92,#00EBD7
176,100,92,#00EBDB
177,100,92,#00EBDF
178,100,92,#00EBE3
179,100,92,#00EBE7
180,100,92,#00EBEB
181,100,92,#00E7EB
182,100,92,#00E3EB
183,100,92,#00DFEB
184,100,92,#00DBEB
185,100,92,#00D7EB
186,100,92,#00D3EB
187,100,92,#00CFEB
188,100,92,#00CBEB
189,100,92,#00C7EB
190,100,92,#00C3EB
191,100,92,#00C0EB
192,100,92,#00BCEB
193,100,92,#00B8EB
194,100,92,#00B4EB
195,100,92,#00B0EB
196,100,92,#00ACEB
197,100,92,#00A8EB
198,100,92,#00A4EB
199,100,92,#00A0EB
200,100,92,#009CEB
201,100,92,#0098EB
202,100,92,#0095EB
203,100,92,#0091EB
204,100,92,#008DEB
205,100,92,#0089EB
206,100,92,#0085EB
207,100,92,#0081EB
208,100,92,#007DEB
209,100,92,#0079EB
210,100,92,#0075EB
211,100,92,#0071EB
