Hue,Saturation,Brightness,AdobeHex,Red,Green,Blue
0,10,100,#FFE6E6,255,230,230
1,10,100,#FFE6E6,255,230,230
2,10,100,#FFE6E6,255,230,230
3,10,100,#FFE7E6,255,231,230
4,10,100,#FFE7E6,255,231,230
5,10,100,#FFE8E6,255,232,230
6,10,100,#FFE8E6,255,232,230
7,10,100,#FFE8E6,255,232,230
8,10,100,#FFE9E6,255,233,230
9,10,100,#FFE9E6,255,233,230
10,10,100,#FFEAE6,255,234,230
11,10,100,#FFEAE6,255,234,230
12,10,100,#FFEBE6,255,235,230
13,10,100,#FFEBE6,255,235,230
14,10,100,#FFEBE6,255,235,230
15,10,100,#FFECE6,255,236,230
16,10,100,#FFECE6,255,236,230
17,10,100,#FFEDE6,255,237,230
18,10,100,#FFEDE6,255,237,230
19,10,100,#FFEEE6,255,238,230
20,10,100,#FFEEE6,255,238,230
21,10,100,#FFEEE6,255,238,230
22,10,100,#FFEFE6,255,239,230
23,10,100,#FFEFE6,255,239,230
24,10,100,#FFF0E6,255,240,230
25,10,100,#FFF0E6,255,240,230
26,10,100,#FFF1E6,255,241,230
27,10,100,#FFF1E6,255,241,230
28,10,100,#FFF1E6,255,241,230
29,10,100,#FFF2E6,255,242,230
30,10,100,#FFF2E6,255,242,230
31,10,100,#FFF3E6,255,243,230
32,10,100,#FFF3E6,255,243,230
33,10,100,#FFF4E6,255,244,230
34,10,100,#FFF4E6,255,244,230
35,10,100,#FFF4E6,255,244,230
36,10,100,#FFF5E6,255,245,230
37,10,100,#FFF5E6,255,245,230
38,10,100,#FFF6E6,255,246,230
39,10,100,#FFF6E6,255,246,230
40,10,100,#FFF7E6,255,247,230
41,10,100,#FFF7E6,255,247,230
42,10,100,#FFF7E6,255,247,230
43,10,100,#FFF8E6,255,248,230
44,10,100,#FFF8E6,255,248,230
45,10,100,#FFF9E6,255,249,230
46,10,100,#FFF9E6,255,249,230
47,10,100,#FFF9E6,255,249,230
48,10,100,#FFFAE6,255,250,230
49,10,100,#FFFAE6,255,250,230
50,10,100,#FFFBE6,255,251,230
51,10,100,#FFFBE6,255,251,230
52,10,100,#FFFCE6,255,252,230
53,10,100,#FFFCE6,255,252,230
54,10,100,#FFFCE6,255,252,230
55,10,100,#FFFDE6,255,253,230
56,10,100,#FFFDE6,255,253,230
57,10,100,#FFFEE6,255,254,230
58,10,100,#FFFEE6,255,254,230
59,10,100,#FFFFE6,255,255,230
60,10,100,#FFFFE6,255,255,230
61,10,100,#FFFFE6,255,255,230
62,10,100,#FEFFE6,254,255,230
63,10,100,#FEFFE6,254,255,230
64,10,100,#FDFFE6,253,255,230
65,10,100,#FDFFE6,253,255,230
66,10,100,#FCFFE6,252,255,230
67,10,100,#FCFFE6,252,255,230
68,10,100,#FCFFE6,252,255,230
69,10,100,#FBFFE6,251,255,230
70,10,100,#FBFFE6,251,255,230
71,10,100,#FAFFE6,250,255,230
72,10,100,#FAFFE6,250,255,230
73,10,100,#F9FFE6,249,255,230
74,10,100,#F9FFE6,249,255,230
75,10,100,#F9FFE6,249,255,230
76,10,100,#F8FFE6,248,255,230
77,10,100,#F8FFE6,248,255,230
78,10,100,#F7FFE6,247,255,230
79,10,100,#F7FFE6,247,255,230
80,10,100,#F7FFE6,247,255,230
81,10,100,#F6FFE6,246,255,230
82,10,100,#F6FFE6,246,255,230
83,10,100,#F5FFE6,245,255,230
84,10,100,#F5FFE6,245,255,230
85,10,100,#F4FFE6,244,255,230
86,10,100,#F4FFE6,244,255,230
87,10,100,#F4FFE6,244,255,230
88,10,100,#F3FFE6,243,255,230
