Hue,Saturation,Brightness,AdobeHex,AdobeRed,AdobeGreen,AdobeBlue,AideHex,AideRed,AideGreen,AideBlue,DeltaRed,DeltaGreen,DeltaBlue
0,98,100,#FF0505,255,5,5,#FF0505,255,5,5,0,0,0
1,98,100,#FF0905,255,9,5,#FF0905,255,9,5,0,0,0
2,98,100,#FF0D05,255,13,5,#FF0D05,255,13,5,0,0,0
3,98,100,#FF1205,255,18,5,#FF1105,255,17,5,0,-1,0
4,98,100,#FF1605,255,22,5,#FF1605,255,22,5,0,0,0
5,98,100,#FF1A05,255,26,5,#FF1A05,255,26,5,0,0,0
6,98,100,#FF1E05,255,30,5,#FF1E05,255,30,5,0,0,0
7,98,100,#FF2205,255,34,5,#FF2205,255,34,5,0,0,0
8,98,100,#FF2605,255,38,5,#FF2705,255,39,5,0,+1,0
9,98,100,#FF2B05,255,43,5,#FF2B05,255,43,5,0,0,0
10,98,100,#FF2F05,255,47,5,#FF2F05,255,47,5,0,0,0
11,98,100,#FF3305,255,51,5,#FF3305,255,51,5,0,0,0
12,98,100,#FF3705,255,55,5,#FF3805,255,56,5,0,+1,0
13,98,100,#FF3B05,255,59,5,#FF3C05,255,60,5,0,+1,0
14,98,100,#FF3F05,255,63,5,#FF4005,255,64,5,0,+1,0
15,98,100,#FF4405,255,68,5,#FF4405,255,68,5,0,0,0
16,98,100,#FF4805,255,72,5,#FF4905,255,73,5,0,+1,0
17,98,100,#FF4C05,255,76,5,#FF4D05,255,77,5,0,+1,0
18,98,100,#FF5005,255,80,5,#FF5105,255,81,5,0,+1,0
19,98,100,#FF5405,255,84,5,#FF5505,255,85,5,0,+1,0
20,98,100,#FF5805,255,88,5,#FF5A05,255,90,5,0,+2,0
21,98,100,#FF5D05,255,93,5,#FF5E05,255,94,5,0,+1,0
22,98,100,#FF6105,255,97,5,#FF6205,255,98,5,0,+1,0
23,98,100,#FF6505,255,101,5,#FF6605,255,102,5,0,+1,0
24,98,100,#FF6905,255,105,5,#FF6B05,255,107,5,0,+2,0
25,98,100,#FF6D05,255,109,5,#FF6F05,255,111,5,0,+2,0
26,98,100,#FF7105,255,113,5,#FF7305,255,115,5,0,+2,0
27,98,100,#FF7605,255,118,5,#FF7705,255,119,5,0,+1,0
28,98,100,#FF7A05,255,122,5,#FF7C05,255,124,5,0,+2,0
29,98,100,#FF7E05,255,126,5,#FF8005,255,128,5,0,+2,0
30,98,100,#FF8205,255,130,5,#FF8405,255,132,5,0,+2,0
31,98,100,#FF8605,255,134,5,#FF8805,255,136,5,0,+2,0
32,98,100,#FF8A05,255,138,5,#FF8D05,255,141,5,0,+3,0
33,98,100,#FF8F05,255,143,5,#FF9105,255,145,5,0,+2,0
34,98,100,#FF9305,255,147,5,#FF9505,255,149,5,0,+2,0
35,98,100,#FF9705,255,151,5,#FF9905,255,153,5,0,+2,0
36,98,100,#FF9B05,255,155,5,#FF9E05,255,158,5,0,+3,0
37,98,100,#FF9F05,255,159,5,#FFA205,255,162,5,0,+3,0
38,98,100,#FFA305,255,163,5,#FFA605,255,166,5,0,+3,0
39,98,100,#FFA805,255,168,5,#FFAA05,255,170,5,0,+2,0
40,98,100,#FFAC05,255,172,5,#FFAF05,255,175,5,0,+3,0
41,98,100,#FFB005,255,176,5,#FFB305,255,179,5,0,+3,0
42,98,100,#FFB405,255,180,5,#FFB705,255,183,5,0,+3,0
43,98,100,#FFB805,255,184,5,#FFBB05,255,187,5,0,+3,0
44,98,100,#FFBC05,255,188,5,#FFC005,255,192,5,0,+4,0
45,98,100,#FFC105,255,193,5,#FFC405,255,196,5,0,+3,0
46,98,100,#FFC505,255,197,5,#FFC805,255,200,5,0,+3,0
47,98,100,#FFC905,255,201,5,#FFCC05,255,204,5,0,+3,0
48,98,100,#FFCD05,255,205,5,#FFD105,255,209,5,0,+4,0
49,98,100,#FFD105,255,209,5,#FFD505,255,213,5,0,+4,0
50,98,100,#FFD505,255,213,5,#FFD905,255,217,5,0,+4,0
51,98,100,#FFDA05,255,218,5,#FFDD05,255,221,5,0,+3,0
52,98,100,#FFDE05,255,222,5,#FFE205,255,226,5,0,+4,0
53,98,100,#FFE205,255,226,5,#FFE605,255,230,5,0,+4,0
54,98,100,#FFE605,255,230,5,#FFEA05,255,234,5,0,+4,0
55,98,100,#FFEA05,255,234,5,#FFEE05,255,238,5,0,+4,0
56,98,100,#FFEE05,255,238,5,#FFF305,255,243,5,0,+5,0
57,98,100,#FFF305,255,243,5,#FFF705,255,247,5,0,+4,0
58,98,100,#FFF705,255,247,5,#FFFB05,255,251,5,0,+4,0
59,98,100,#FFFB05,255,251,5,#FFFF05,255,255,5,0,+4,0
60,98,100,#FFFF05,255,255,5,#FFFF05,255,255,5,0,0,0
61,98,100,#FBFF05,251,255,5,#FFFF05,255,255,5,+4,0,0
62,98,100,#F7FF05,247,255,5,#FBFF05,251,255,5,+4,0,0
63,98,100,#F3FF05,243,255,5,#F7FF05,247,255,5,+4,0,0
64,98,100,#EEFF05,238,255,5,#F3FF05,243,255,5,+5,0,0
65,98,100,#EAFF05,234,255,5,#EEFF05,238,255,5,+4,0,0
